CPT_id	rootSource	name	obsolete	atomCount	concepts
0001U	CPT	Red blood cell antigen typing, DNA, human erythrocyte antigen gene analysis of 35 antigens from 11 blood groups, utilizing whole blood, common RBC alleles reported	False	5	C4521667;C5414375;C4301946
0002M	CPT	Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and alcoholic steatohepatitis (ASH)	False	4	C3869480;C5697505
0002U	CPT	Oncology (colorectal), quantitative assessment of three urine metabolites (ascorbic acid, succinic acid and carnitine) by liquid chromatography with tandem mass spectrometry (LC-MS/MS) using multiple reaction monitoring acquisition, algorithm reported as likelihood of adenomatous polyps	False	5	C5414376;C4521656
0003M	CPT	Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and nonalcoholic steatohepatitis (NASH)	False	4	C3869479;C5697506
0003U	CPT	Oncology (ovarian) biochemical assays of five proteins (apolipoprotein A-1, CA 125 II, follicle stimulating hormone, human epididymis protein 4, transferrin), utilizing serum, algorithm reported as a likelihood score	False	5	C4301944;C4523576
0004M	CPT	Scoliosis, DNA analysis of 53 single nucleotide polymorphisms (SNPs), using saliva, prognostic algorithm reported as a risk score	False	4	C3869478;C5697507
0005U	CPT	Oncology (prostate) gene expression profile by real-time RT-PCR of 3 genes (ERG, PCA3, and SPDEF), urine, algorithm reported as risk score	False	5	C4521662;C5414377
0006M	CPT	Oncology (hepatic), mRNA expression levels of 161 genes, utilizing fresh hepatocellular carcinoma tumor tissue, with alpha-fetoprotein level, algorithm reported as a risk classifier	False	4	C3869477;C5697508
0007M	CPT	Oncology (gastrointestinal neuroendocrine tumors), real-time PCR expression analysis of 51 genes, utilizing whole peripheral blood, algorithm reported as a nomogram of tumor disease index	False	4	C3869476;C5697509
0007U	CPT	Drug test(s), presumptive, with definitive confirmation of positive results, any number of drug classes, urine, includes specimen verification including DNA authentication in comparison to buccal DNA, per date of service	False	5	C4521675;C4523580
0008U	CPT	Helicobacter pylori detection and antibiotic resistance, DNA, 16S and 23S rRNA, gyrA, pbp1, rdxA and rpoB, next generation sequencing, formalin-fixed paraffin-embedded or fresh tissue or fecal sample, predictive, reported as positive or negative for resistance to clarithromycin, fluoroquinolones, metronidazole, amoxicillin, tetracycline, and rifabutin	False	7	C4521495;C5414378;C5414379;C5414380
0009U	CPT	Oncology (breast cancer), ERBB2 (HER2) copy number by FISH, tumor cells from formalin-fixed paraffin-embedded tissue isolated using image-based dielectrophoresis (DEP) sorting, reported as ERBB2 gene amplified or non-amplified	False	5	C4521499;C4521655;C5414381
0010U	CPT	Infectious disease (bacterial), strain typing by whole genome sequencing, phylogenetic-based report of strain relatedness, per submitted isolate	False	5	C0201216;C4521498;C5414382
0011M	CPT	Oncology, prostate cancer, mRNA expression assay of 12 genes (10 content and 2 housekeeping), RT-PCR test utilizing blood plasma and urine, algorithms to predict high-grade prostate cancer risk	False	4	C5697510;C4732724
0011U	CPT	Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, using oral fluid, reported as a comparison to an estimated steady-state range, per date of service including all drug compounds and metabolites	False	5	C4521672;C5414383
0012M	CPT	Oncology (urothelial), mRNA, gene expression profiling by real-time quantitative PCR of five genes (MDK, HOXA13, CDC2 [CDK1], IGFBP5, and CXCR2), utilizing urine, algorithm reported as a risk score for having urothelial carcinoma	False	4	C5697511;C4732725
0013M	CPT	Oncology (urothelial), mRNA, gene expression profiling by real-time quantitative PCR of five genes (MDK, HOXA13, CDC2 [CDK1], IGFBP5, and CXCR2), utilizing urine, algorithm reported as a risk score for having recurrent urothelial carcinoma	False	4	C4732726;C5697512
0015M	CPT	Adrenal cortical tumor, biochemical assay of 25 steroid markers, utilizing 24-hour urine specimen and clinical parameters, prognostic algorithm reported as a clinical risk and integrated clinical steroid risk for adrenal cortical carcinoma, adenoma, or other adrenal malignancy	False	4	C5697514;C5416726
0016M	CPT	Oncology (bladder), mRNA, microarray gene expression profiling of 219 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as molecular subtype (luminal, luminal infiltrated, basal, basal claudin-low, neuroendocrine-like)	False	4	C5416727;C5697515
0016U	CPT	Oncology (hematolymphoid neoplasia), RNA, BCR/ABL1 major and minor breakpoint fusion transcripts, quantitative PCR amplification, blood or bone marrow, report of fusion not detected or detected with quantitation	False	6	C5414389;C4521658;C5414388;C5414387
0017M	CPT	Oncology (diffuse large B-cell lymphoma [DLBCL]), mRNA, gene expression profiling by fluorescent probe hybridization of 20 genes, formalin-fixed paraffin-embedded tissue, algorithm reported as cell of origin	False	4	C5697516;C5691641
0017U	CPT	Oncology (hematolymphoid neoplasia), JAK2 mutation, DNA, PCR amplification of exons 12-14 and sequence analysis, blood or bone marrow, report of JAK2 mutation not detected or detected	False	6	C4521657;C5414390;C5414391;C5414392
0018M	CPT	Transplantation medicine (allograft rejection, renal), measurement of donor and third-party-induced CD154+T-cytotoxic memory cells, utilizing whole peripheral blood, algorithm reported as a rejection risk score	False	4	C5691642;C5697517
0018U	CPT	Oncology (thyroid), microRNA profiling by RT-PCR of 10 microRNA sequences, utilizing fine needle aspirate, algorithm reported as a positive or negative result for moderate to high risk of malignancy	False	5	C4542814;C5414393;C4732273
