page_number	label	text_size	n_images	n_tables	n_links
1	~	904	0	1	28
2	~	905	0	1	40
3	~	899	0	1	36
4	~	2330	0	0	0
5	~	2125	0	0	0
6	~	2154	0	0	0
7	~	1960	0	0	0
8	~	2048	0	0	0
9	~	1383	0	0	0
10	~	1528	0	0	0
11	~	1792	1	0	0
12	~	671	1	1	0
13	~	657	1	1	0
14	~	672	1	1	0
15	~	690	1	1	0
16	~	1148	3	1	0
17	~	814	1	1	0
18	~	999	1	1	0
19	~	1147	1	1	0
20	~	1254	1	1	0
21	~	977	1	1	0
22	~	1087	1	1	0
23	~	1098	1	1	0
24	~	955	1	2	0
25	~	1111	1	1	0
26	~	1046	1	1	0
27	~	870	1	1	0
28	~	1159	1	2	0
29	~	909	1	1	0
30	~	1107	1	2	0
31	~	1093	1	1	0
32	~	1009	1	1	0
33	~	1158	1	1	0
34	~	1181	1	1	0
35	~	856	1	1	0
36	~	1181	1	2	0
37	~	1010	1	2	0
38	~	1034	1	2	0
39	~	1189	1	1	0
40	~	985	1	2	0
41	~	1105	1	2	0
42	~	1194	1	2	0
43	~	1150	1	2	0
44	~	1026	1	2	0
45	~	1078	1	1	0
46	~	1201	1	2	0
47	~	1342	1	1	0
48	~	1190	1	1	0
49	~	971	1	1	0
50	~	977	1	1	0
51	~	1016	1	1	0
52	~	991	1	2	0
53	~	1012	1	1	0
54	~	1045	1	1	0
55	~	1089	1	1	0
56	~	1075	1	1	0
57	~	1029	1	1	0
58	~	1040	1	1	0
59	~	1168	1	1	0
60	~	992	1	1	0
61	~	716	3	2	0
62	~	1161	3	2	0
63	~	1601	0	1	0
64	~	1643	0	1	0
65	~	1711	0	1	0
66	~	1751	0	1	0
67	~	1657	0	1	0
68	~	1681	0	1	0
69	~	1750	0	1	0
70	~	1687	0	1	0
71	~	1723	0	1	0
72	~	1748	0	1	0
73	~	1685	0	1	0
74	~	1730	0	1	0
75	~	1527	0	1	0
76	~	1726	0	1	0
77	~	1508	0	1	6
78	~	922	0	1	39
79	~	172	0	0	0
