Code	Description
81120	Idh1 common variants
81121	Idh2 common variants
81170	Abl1 gene
81175	Asxl1 full gene sequence
81176	Asxl1 gene target seq alys
81206	Bcr/abl1 gene major bp
81207	Bcr/abl1 gene minor bp
81208	Bcr/abl1 gene other bp
81210	Braf gene
81218	Cebpa gene full sequence
81219	Calr gene com variants
81233	Btk gene common variants
81235	Egfr gene com variants
81236	Ezh2 gene full gene sequence
81237	Ezh2 gene common variants
81245	Flt3 gene
81246	Flt3 gene analysis
81261	Igh gene rearrange amp meth
81262	Igh gene rearrang dir probe
81263	Igh vari regional mutation
81270	Jak2 gene
81272	Kit gene targeted seq analys
81273	Kit gene analys d816 variant
81275	Kras gene variants exon 2
81276	Kras gene addl variants
81287	Mgmt gene prmtr mthyltn alys
81292	Mlh1 gene full seq
81293	Mlh1 gene known variants
81294	Mlh1 gene dup/delete variant
81301	Microsatellite instability
81305	Myd88 gene p.leu265pro vrnt
81310	Npm1 gene
81311	Nras gene variants exon 2&3
81313	Pca3/klk3 antigen
81314	Pdgfra gene
81315	Pml/raralpha com breakpoints
81316	Pml/raralpha 1 breakpoint
81320	Plcg2 gene common variants
81321	Pten gene full sequence
81322	Pten gene known fam variant
81323	Pten gene dup/delet variant
81327	Sept9 gen prmtr mthyltn alys
81334	Runx1 gene targeted seq alys
81340	Trb@ gene rearrange amplify
81342	Trg gene rearrangement anal
81345	Tert gene targeted seq alys
81347	Sf3b1 gene common variants
81348	Srsf2 gene common variants
81351	Tp53 gene full gene sequence
81352	Tp53 gene trgt sequence alys
81353	Tp53 gene known famil vrnt
81357	U2af1 gene common variants
81360	Zrsr2 gene common variants
81435	Hered colon ca-rlatd do 5+
81437	Hered neuroend tum-rlt do 5+
81445	So neo gsap 5-50dna/dna&rna
81450	Hl neo gsap 5-50dna/dna&rna
81479	Unlisted molecular pathology
81503	Onco (ovar) five proteins
81520	Onc breast mrna 58 genes
81525	Oncology colon mrna
81538	Oncology lung
81540	Oncology tum unknown origin
81546	Onc thyr mrna 10,196 gen alg
0018U	Onc thyr 10 microrna seq alg
0026U	Onc thyr dna&mrna 112 genes
0245U	Onc thyr mut alys 10 gen&37
