CPT_id	classType	ui	suppressible	obsolete	rootSource	atomCount	cVMemberCount	attributes	atoms	ancestors	parents	children	descendants	relations	definitions	concepts	defaultPreferredAtom	name
0001U	SourceAtomCluster	0001U	False	False	CPT	5	0					NONE	NONE		NONE	C4521667;C5414375;C4301946		Red blood cell antigen typing, DNA, human erythrocyte antigen gene analysis of 35 antigens from 11 blood groups, utilizing whole blood, common RBC alleles reported
0002M	SourceAtomCluster	0002M	False	False	CPT	4	0					NONE	NONE		NONE	C3869480;C5697505		Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and alcoholic steatohepatitis (ASH)
0002U	SourceAtomCluster	0002U	False	False	CPT	5	0					NONE	NONE		NONE	C5414376;C4521656		Oncology (colorectal), quantitative assessment of three urine metabolites (ascorbic acid, succinic acid and carnitine) by liquid chromatography with tandem mass spectrometry (LC-MS/MS) using multiple reaction monitoring acquisition, algorithm reported as likelihood of adenomatous polyps
0003M	SourceAtomCluster	0003M	False	False	CPT	4	0					NONE	NONE		NONE	C3869479;C5697506		Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and nonalcoholic steatohepatitis (NASH)
0003U	SourceAtomCluster	0003U	False	False	CPT	5	0					NONE	NONE		NONE	C4301944;C4523576		Oncology (ovarian) biochemical assays of five proteins (apolipoprotein A-1, CA 125 II, follicle stimulating hormone, human epididymis protein 4, transferrin), utilizing serum, algorithm reported as a likelihood score
0004M	SourceAtomCluster	0004M	False	False	CPT	4	0					NONE	NONE		NONE	C3869478;C5697507		Scoliosis, DNA analysis of 53 single nucleotide polymorphisms (SNPs), using saliva, prognostic algorithm reported as a risk score
0005U	SourceAtomCluster	0005U	False	False	CPT	5	0					NONE	NONE		NONE	C4521662;C5414377		Oncology (prostate) gene expression profile by real-time RT-PCR of 3 genes (ERG, PCA3, and SPDEF), urine, algorithm reported as risk score
0006M	SourceAtomCluster	0006M	False	False	CPT	4	0					NONE	NONE		NONE	C3869477;C5697508		Oncology (hepatic), mRNA expression levels of 161 genes, utilizing fresh hepatocellular carcinoma tumor tissue, with alpha-fetoprotein level, algorithm reported as a risk classifier
0007M	SourceAtomCluster	0007M	False	False	CPT	4	0					NONE	NONE		NONE	C3869476;C5697509		Oncology (gastrointestinal neuroendocrine tumors), real-time PCR expression analysis of 51 genes, utilizing whole peripheral blood, algorithm reported as a nomogram of tumor disease index
0007U	SourceAtomCluster	0007U	False	False	CPT	5	0					NONE	NONE		NONE	C4521675;C4523580		Drug test(s), presumptive, with definitive confirmation of positive results, any number of drug classes, urine, includes specimen verification including DNA authentication in comparison to buccal DNA, per date of service
